book_id,chap_id,bing_positive,bing_negative,bing_sentiment,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,syu_sentiment,gi_sentiment,labmt_happiness
monk,1,0.04217980295566502,0.03335385878489327,0.008825944170771757,0.013341543513957306,0.03099343185550082,0.008825944170771757,0.021346469622331693,0.03550903119868637,0.030582922824302135,0.052545155993431854,0.0173440065681445,0.015701970443349755,0.04012725779967159,0.021962233169129722,0.018416461412151065,0.02442528735632184,4.7172424055829225
monk,2,0.04334950538718417,0.04769705752630584,-0.004347552139121668,0.020855648667380756,0.02444710478230735,0.012916640413332493,0.030810912985949214,0.03074790498393296,0.042782433369037864,0.04353852939323294,0.027975552895217692,0.014176800453657615,0.030369856971835422,0.0007560960241950727,0.004908323357066348,0.012601600403251213,4.676768949656607
monk,3,0.02621628434585329,0.03722376270901605,-0.01100747836316276,0.016973363582892195,0.018233761868750524,0.01117553146794387,0.02453575329804218,0.01848584152592219,0.035795311318376606,0.032854381984707165,0.0216788505167633,0.009579026972523318,0.02403159398369885,-0.0029409293336694394,0.0010125199563061926,0.006722124191244433,4.739595832283001
monk,4,0.030001470660326487,0.0426001274572283,-0.012598656796901808,0.02088337663610961,0.019167606255208587,0.013186920927496446,0.027305260061767735,0.021716750821118683,0.04206088533751654,0.03720770626011079,0.024560027452326095,0.01176528261189274,0.027991568214128144,-0.004853179077405755,-0.0030859355850776996,-0.0002451100544144321,4.733702142261875
monk,5,0.0389278876834716,0.04935120187194214,-0.010423314188470539,0.021591150818974687,0.02095298872580302,0.01520952988725803,0.02542012337800468,0.03190810465858328,0.04137417570729632,0.0463731121038077,0.025313763029142736,0.013614124654328865,0.0333971495426505,0.004998936396511381,0.003786428419485216,0.012869602212295257,4.645807275047862
monk,6,0.050700335371868216,0.04685342276583152,0.0038469126060366936,0.020319589662655357,0.026829749457486684,0.015584927993687117,0.025843361609784968,0.03491812980864076,0.04300651015979483,0.05188400078911028,0.026731110672716513,0.014105346222134543,0.03708818307358453,0.008877490629315447,0.014213848885381731,0.024363779838232392,4.629700138094299
monk,7,0.03875248838752488,0.05003317850033179,-0.0112806901128069,0.023092236230922363,0.024021234240212342,0.014200398142003981,0.029595222295952222,0.026542800265428004,0.04366290643662907,0.04021234240212342,0.023888520238885203,0.013005972130059721,0.027869940278699403,-0.0034505640345056402,0.0035235567352355675,0.009157266091572662,4.600740544127405
monk,8,0.036936077415837536,0.04565898868747444,-0.008722911271636909,0.019626550361183045,0.02971241651901322,0.01158511653264277,0.02685021125800736,0.031484257871064465,0.04170641951751397,0.04729453455090637,0.02766798418972332,0.01567398119122257,0.033392394711735045,0.005588115033392395,0.007019217663895325,0.011312525555404115,4.58667711598746
monk,9,0.030971676161437856,0.04549466420604991,-0.014522988044612052,0.02182460081842253,0.02094198828532456,0.013640375511514083,0.027200513520019256,0.02206531332744925,0.042285164085693654,0.03642782636604349,0.027521463532054882,0.013399663002487362,0.026157425980903475,-0.005857337719650165,-0.007345743400465377,0.002246650084249378,4.6571491615180935
monk,10,0.03127340823970037,0.05655430711610487,-0.025280898876404494,0.025374531835205993,0.020318352059925094,0.015823970037453183,0.03529962546816479,0.020224719101123594,0.05159176029962547,0.03548689138576779,0.03239700374531835,0.01395131086142322,0.02752808988764045,-0.01610486891385768,-0.014391385767790262,-0.0028089887640449437,4.5374297752808985
monk,11,0.037154317078319614,0.06248680599535571,-0.0253324889170361,0.028710154105974245,0.024276968545492928,0.02089930335655478,0.040320878192949126,0.02624727323904018,0.05854619660826121,0.04010977411864049,0.03835057349940187,0.013862500879600309,0.029061994229821968,-0.018436422489620716,-0.017078319611568502,-0.0011258883963127155,4.565063683062417
monk,12,0.029138513513513514,0.07404279279279279,-0.04490427927927928,0.039836711711711714,0.02660472972972973,0.02533783783783784,0.051661036036036036,0.019425675675675675,0.07108671171171171,0.03392454954954955,0.041807432432432436,0.016469594594594593,0.02759009009009009,-0.037162162162162164,-0.03320664414414414,-0.017736486486486486,4.501984797297297
moonstone,44,0.02223230490018149,0.04310344827586207,-0.020871143375680582,0.028130671506352088,0.013157894736842105,0.014065335753176044,0.030399274047186932,0.019056261343012703,0.041742286751361164,0.03357531760435572,0.02041742286751361,0.006805807622504537,0.020871143375680582,-0.008166969147005444,-0.009528130671506351,-0.0027223230490018148,4.775653357531761
moonstone,45,0.023554603854389723,0.022483940042826552,0.0010706638115631692,0.0053533190578158455,0.006423982869379015,0.0053533190578158455,0.010706638115631691,0.014989293361884369,0.020342612419700215,0.031049250535331904,0.013918629550321198,0.004282655246252677,0.02462526766595289,0.010706638115631691,0.014989293361884369,-0.0010706638115631692,5.147944325481799
moonstone,46,0.03169572107765452,0.025356576862123614,0.006339144215530904,0.007395668251452721,0.012150026413100899,0.013206550449022716,0.008980454305335447,0.022187004754358162,0.02377179080824089,0.03380876914949815,0.006339144215530904,0.006867406233491812,0.028526148969889066,0.010036978341257264,0.016296883254094032,0.008980454305335447,5.172673005810883
moonstone,47,0.025477707006369428,0.02264685067232838,0.0028308563340410475,0.013092710544939844,0.01132342533616419,0.013800424628450107,0.012031139419674451,0.014861995753715499,0.026185421089879687,0.02300070771408351,0.009200283085633405,0.009554140127388535,0.016985138004246284,-0.0031847133757961785,0.017179759377211605,0.01840056617126681,5.115527246992215
moonstone,48,0.03226761397276495,0.02427471876850207,0.007992895204262877,0.012137359384251036,0.013617525162818236,0.009769094138543518,0.010953226761397277,0.021018354055654234,0.022498519834221433,0.03256364712847839,0.016281823564239194,0.010065127294256957,0.02545885139135583,0.010065127294256957,0.0130550621669627,0.012137359384251036,5.036953818827709
moonstone,49,0.027894907557573793,0.033409017191047684,-0.005514109633473889,0.012974375608173857,0.013623094388582549,0.014920531949399934,0.017839766461239054,0.021407719753486862,0.031462860849821604,0.03697697048329549,0.01265001621796951,0.012974375608173857,0.025624391826143365,0.005514109633473889,0.007784625364904314,-0.0006487187804086928,5.075757379176127
moonstone,50,0.022425430002177227,0.02634443718702373,-0.003919007184846506,0.014369693011103853,0.019377313302852167,0.009144350097975179,0.015676028739386023,0.025691269322882647,0.025691269322882647,0.04441541476159373,0.013716525146962769,0.014151970389723493,0.03069888961463096,0.018724145438711082,0.01224689745264533,0.011539298933159156,5.049018070977574
