book_id,author,book
0,christie,secretadversary
1,christie,styles
2,collins,moonstone
3,doyle,adventures
4,doyle,baskervilles
5,doyle,scarlet
6,doyle,signoffour
7,poe,marieroget
8,poe,ruemorgue
9,austen,northangerabbey
10,dickens,christmascarole
11,lewis,monk
12,poe,pitandpendulum
13,poe,reddeath
14,poe,usher
15,radcliffe,udolpho
16,reeve,oldenglishbaron
17,shelley,frankenstein
18,stoker,dracula
19,walpole,castleofotranto
